solar_generation,date,hour,variable_1,variable_2,variable_3,variable_4,variable_5
,20180104,600,-9.8,72,-99,4.65,41.04416827
,20180104,700,-10.5,77,-99,4.89,50.53482753
,20180104,800,-11.3,78,-99,5.85,23.30710565
,20180104,900,-11.3,77,-99,5.55,131.1401918
,20180104,1000,-11,75,-99,6.39,102.0346492
,20180104,1100,-10,71,-99,6.62,30.91765462
,20180104,1200,-9,61,-99,6.7,61.63295311
,20180104,1300,-8.4,58,-99,5.88,47.61269715
,20180104,1400,-8.3,57,-99,6.17,119.5542749
,20180104,1500,-8.1,55,-99,5.53,125.0354424
,20180104,1600,-8.3,54,-99,5.26,44.25825364
,20180104,1700,-9.2,57,-99,3.47,62.44072312
,20180104,1800,-10.3,62,-99,4.72,87.32512885
,20180104,1900,-11.2,66,-99,3.77,98.7698556
,20180104,2000,-11.9,68,-99,4.92,143.6906159
,20180104,2100,-12.3,69,-99,4.84,136.3623276
,20180104,2200,-12.6,68,-99,5.07,91.87267421
,20180104,2300,-13,68,-99,5.03,32.78470052
,20180105,0,-13.2,69,-99,4.64,118.7757076
,20180105,100,-13.8,72,-99,4.88,0.362432955
,20180105,200,-14.3,74,-99,4.87,5.723172965
,20180105,300,-15.1,79,-99,4.45,142.755791
,20180105,400,-13.7,80,-99,3.41,102.5324681
,20180105,500,-12.9,76,-99,4.56,110.6422186
,20180105,600,-12.4,70,-99,5.26,38.20356003
,20180105,700,-12.3,66,-99,5.02,142.4776749
,20180105,800,-12,63,-99,6,105.2673332
,20180105,900,-11.3,60,-99,5.5,127.5451029
,20180105,1000,-10.2,56,-99,5.51,79.30641906
,20180105,1100,-9,46,-99,5.94,131.245109
,20180105,1200,-8.2,46,-99,5.82,113.8694373
,20180105,1300,-7.6,47,-99,5.7,57.91703939
,20180105,1400,-7.2,48,-99,5.74,44.71221634
,20180105,1500,-7.3,50,-99,5.28,42.09830343
,20180105,1600,-7.5,52,-99,4.83,97.23694631
,20180105,1700,-7.6,54,-99,5.12,31.099831
,20180105,1800,-7.7,55,-99,3.93,92.88137917
,20180105,1900,-7.9,57,-99,4.48,37.01597512
,20180105,2000,-8.8,60,-99,5.1,124.1182923
,20180105,2100,-10.1,65,-99,4.9,119.9694254
,20180105,2200,-10.9,68,-99,3.32,32.03019051
,20180105,2300,-12.8,76,-99,4.56,92.87347096
,20180106,0,-13.3,82,-99,5.11,112.8614415
,20180106,100,-13.8,84,-99,5.08,22.1339353
,20180106,200,-13.9,86,-99,4.28,25.09551844
,20180106,300,-13.2,85,-99,4.3,58.88993093
,20180106,400,-14.8,83,-99,4.31,61.07479776
,20180106,500,-15.6,85,-99,4.48,44.95359776
,20180106,600,-15.7,87,-99,4.23,0.09484451
,20180106,700,-15.7,86,-99,5.96,127.8659717
,20180106,800,-14.7,84,-99,5.63,54.66308156
,20180106,900,-11.6,73,-99,5.88,13.32319154
,20180106,1000,-9.8,58,-99,6.44,145.1374682
,20180106,1100,-7.9,44,-99,6.55,85.76319961
,20180106,1200,-6.3,33,-99,6.07,132.1371238
,20180106,1300,-5.2,30,-99,5.7,96.6737535
,20180106,1400,-4.6,29,-99,6.25,20.46483928
,20180106,1500,-4.2,23,-99,5.85,6.109726785
,20180106,1600,-4.4,25,-99,4.7,32.71145437
,20180106,1700,-6.2,31,-99,3.98,40.10101199
,20180106,1800,-7.8,36,-99,4.51,93.51826799
,20180106,1900,-8.6,39,-99,4.97,57.13234409
,20180106,2000,-9.1,42,-99,3.96,2.969168162
,20180106,2100,-9.9,46,-99,5.27,65.66955881
,20180106,2200,-10.8,47,-99,4.09,146.2566843
,20180106,2300,-12.2,58,-99,5.11,131.6249043
,20180107,0,-10.9,52,-99,4.88,5.257372177
,20180107,100,-10.4,49,-99,5.14,73.24548873
,20180107,200,-10.6,50,-99,4.52,89.3360442
,20180107,300,-10,48,-99,3.8,133.5388408
,20180107,400,-10.3,50,-99,4.57,57.43349446
,20180107,500,-10.7,51,-99,4.51,61.61713171
,20180107,600,-11.7,61,-99,5.3,107.1086626
,20180107,700,-10.9,61,-99,5.07,147.9883684
,20180107,800,-8.8,56,-99,5.85,146.0059874
,20180107,900,-5.2,41,-99,5.76,99.24961435
,20180107,1000,-2.6,36,-99,6.41,30.19427713
,20180107,1100,-0.7,32,-99,5.75,14.69744471
,20180107,1200,0.5,31,-99,6.49,17.07672066
,20180107,1300,1.3,31,-99,6.55,3.728656526
,20180107,1400,1.7,31,-99,6.05,82.32481855
,20180107,1500,1.7,31,-99,5.55,23.78496075
,20180107,1600,0.6,35,-99,4.84,59.91764076
,20180107,1700,-0.1,37,-99,3.94,79.43991688
,20180107,1800,0.1,37,-99,4.87,0.124752889
,20180107,1900,0.8,36,-99,4.76,114.9923303
,20180107,2000,0.9,35,-99,4.85,94.83632771
,20180107,2100,0.7,36,-99,4.54,76.95556454
,20180107,2200,0.4,39,-99,3.23,20.84141987
,20180107,2300,0.4,36,-99,4.77,8.249486319
,20180108,0,0.1,36,-99,4.45,98.5254057
,20180108,100,0.1,35,-99,4.48,115.5356651
,20180108,200,0.1,35,-99,5.13,28.03434175
,20180108,300,-0.2,42,-99,4.39,56.4754382
,20180108,400,-0.2,47,-99,4.67,25.93613963
,20180108,500,-0.1,54,-99,4.5,102.9511995
,20180108,600,-0.5,72,-99,4.19,141.6862056
,20180108,700,-0.2,85,-99,4.44,116.5626375
,20180108,800,0.4,92,-99,4.56,98.92889946
,20180108,900,1.1,95,-99,5.17,99.24899718
,20180108,1000,1.9,96,-99,5.53,76.64751528
,20180108,1100,2.7,97,-99,5.45,129.2940534
,20180108,1200,3,97,-99,5.19,5.109577884
,20180108,1300,3.2,96,-99,5.37,59.14451591
,20180108,1400,3.6,97,-99,5.66,98.4199177
,20180108,1500,4,97,-99,4.51,147.8766865
,20180108,1600,4.3,98,-99,4.48,70.53312619
,20180108,1700,4,98,-99,5.1,97.90753339
,20180108,1800,3.8,98,-99,4.39,46.62213517
,20180108,1900,3.3,99,-99,5.05,61.47088907
,20180108,2000,3.3,99,-99,4.05,105.3355791
,20180108,2100,3.4,99,-99,4.25,99.1181675
,20180108,2200,3.1,100,-99,4.77,56.09640165
,20180108,2300,3,100,-99,4.75,39.5772028
,20180109,0,3.1,100,-99,5.42,129.9071575
,20180109,100,3.3,100,-99,4.02,136.7347049
,20180109,200,3.5,100,-99,4.4,108.6087191
,20180109,300,3.6,100,-99,5.08,136.1656917
,20180109,400,3.3,100,-99,4.19,46.92755548
,20180109,500,3.2,100,-99,4.82,120.0004595
,20180109,600,3.2,100,-99,5.12,52.68755913
,20180109,700,3.6,100,-99,4.84,85.11786106
,20180109,800,4.1,100,-99,5.06,25.86866551
,20180109,900,5.5,100,-99,5.11,45.34341174
,20180109,1000,6.1,100,-99,5.48,113.8712815
,20180109,1100,7.3,100,-99,5.89,48.65856187
,20180109,1200,8.2,99,-99,5.55,88.49247096
,20180109,1300,9.1,96,-99,5.74,32.32138162
,20180109,1400,9.7,94,-99,5.33,87.96327927
,20180109,1500,10,93,-99,5.23,64.49250452
,20180109,1600,9.4,92,-99,4.51,66.9440134
,20180109,1700,8.1,94,-99,4.94,17.80472513
,20180109,1800,7.3,95,-99,4.47,62.78092851
,20180109,1900,6.9,96,-99,5.4,86.52621832
,20180109,2000,6.8,97,-99,5.22,93.19601268
,20180109,2100,7.6,96,-99,4.22,82.9571282
,20180109,2200,8.3,92,-99,3.95,146.9354029
,20180109,2300,8.2,89,-99,4.73,94.64035835
,20180110,0,7.6,89,-99,4.55,11.92162606
,20180110,100,7.3,92,-99,4.35,149.9201956
,20180110,200,5.6,96,-99,4.99,71.47569898
,20180110,300,4.9,100,-99,5.04,21.30249642
,20180110,400,4.5,100,-99,4.35,49.74486836
,20180110,500,7.5,99,-99,4.65,147.7526007
,20180110,600,7.4,98,-99,4.66,102.4130016
,20180110,700,7.4,98,-99,5.85,52.50727424
,20180110,800,7.8,99,-99,5.66,136.5103443
,20180110,900,10.4,96,-99,6.17,89.38758883
,20180110,1000,12.6,85,-99,5.45,95.81586256
,20180110,1100,12.8,85,-99,6.17,103.1054787
,20180110,1200,13.7,82,-99,5.8,106.1942293
,20180110,1300,14.9,76,-99,5.58,94.58989598
,20180110,1400,15,73,0.399,6.17,103.8584055
,20180110,1500,15.3,70,0.4,5.59,135.4110779
,20180110,1600,14.6,70,0.398,5.04,88.29052248
,20180110,1700,13.7,76,0.399,4.13,33.81138064
,20180110,1800,13.2,77,0.398,4.73,123.7124715
,20180110,1900,13.1,77,0.394,3,90.57439111
,20180110,2000,13.4,77,0.396,4.66,23.50558973
,20180110,2100,13.1,77,0.391,4.89,39.69432311
,20180110,2200,12,79,0.391,3.63,65.86709124
,20180110,2300,11.9,79,0.394,4.77,23.08666411
,20180111,0,11.8,78,0.389,4.39,88.63480454
,20180111,100,11.3,80,0.389,4.71,18.1554862
,20180111,200,11,86,0.388,3.79,109.1359867
,20180111,300,11,89,0.39,4.47,137.5801912
,20180111,400,11.2,92,0.387,4.57,30.8994495
,20180111,500,11.2,95,0.39,3.93,57.78198995
,20180111,600,11.3,98,0.388,4.89,49.76643403
,20180111,700,11.5,99,0.386,5.36,53.44227208
,20180111,800,11.7,100,0.391,5.26,55.21548264
,20180111,900,12.2,100,0.389,5.37,45.89380133
,20180111,1000,12,100,0.394,5.21,54.00192148
,20180111,1100,12.7,100,0.393,5.28,138.8593174
,20180111,1200,13.4,100,0.388,5.31,14.08708315
,20180111,1300,13.5,100,0.392,5.67,56.40717466
,20180111,1400,14.2,100,0.393,5.61,38.24931677
,20180111,1500,14.5,97,-99,5.58,74.83515569
,20180111,1600,14.3,95,0.392,4.25,129.3434481
,20180111,1700,14.1,94,0.389,4.65,79.51919639
,20180111,1800,13.8,94,0.386,4.49,124.0029744
,20180111,1900,13.7,94,0.387,4.83,109.4974287
,20180111,2000,13.6,95,0.386,4.4,13.96513951
,20180111,2100,13.6,95,0.387,3.97,39.45279917
,20180111,2200,13.6,95,0.387,5.38,128.9267676
,20180111,2300,13.6,97,0.385,5.38,120.477862
,20180112,0,13.8,96,0.385,4.79,94.3759401
,20180112,100,13.9,95,0.385,4,7.100030905
,20180112,200,13.8,95,0.385,4.3,125.6791734
,20180112,300,13.8,95,0.383,4.78,29.07516933
,20180112,400,13.8,96,0.397,4.84,57.13058513
,20180112,500,13.8,98,0.407,5.11,7.742138543
,20180112,600,14.1,98,0.408,4.94,35.52290328
,20180112,700,14.1,96,-99,4.96,41.17785783
,20180112,800,13.8,95,0.404,5.15,8.022755677
,20180112,900,13.7,95,0.415,5.49,148.5300852
,20180112,1000,13.9,87,0.412,6.08,146.9796345
,20180112,1100,13.9,84,0.404,5.78,4.466049251
,20180112,1200,10.3,87,0.403,4.7,35.00723015
,20180112,1300,2.6,97,0.4,5.59,104.8935077
,20180112,1400,0.7,99,0.404,4.99,87.5207858
,20180112,1500,-0.5,99,-99,5.25,111.9737072
,20180112,1600,-1.6,98,0.403,4.44,82.08877356
,20180112,1700,-3.1,96,0.404,4.46,11.31090242
,20180112,1800,-4.8,95,0.398,4.54,113.5669307
,20180112,1900,-5.6,94,0.4,4.48,65.85782038
,20180112,2000,-5.6,94,0.397,4.54,48.8448005
,20180112,2100,-5.4,93,0.399,4.98,31.20153546
,20180112,2200,-5.2,91,0.398,4.55,110.1903803
,20180112,2300,-4.9,91,0.401,5.07,145.9658231
,20180113,0,-4.8,92,0.398,4.88,85.26852989
,20180113,100,-5,91,0.398,4.23,3.598768416
,20180113,200,-5.4,88,0.398,5.34,2.074213478
,20180113,300,-5.8,88,0.4,4.25,71.5710167
,20180113,400,-6.3,90,0.391,4.97,33.18915781
,20180113,500,-6.6,90,0.397,4.27,132.2526986
,20180113,600,-6.8,89,0.394,4.82,126.6329829
,20180113,700,-7.3,91,0.394,4.97,106.6972538
,20180113,800,-7.6,91,0.394,5.88,0.667473555
,20180113,900,-7.8,91,0.39,5.86,2.157079875
,20180113,1000,-8.1,87,0.395,5.55,114.3216328
,20180113,1100,-8.1,83,0.39,6.42,145.7227315
,20180113,1200,-8.2,82,0.39,5.44,77.14488472
,20180113,1300,-8.3,82,0.387,5.81,94.0675263
,20180113,1400,-8.1,81,0.392,5.36,75.99866915
,20180113,1500,-8.2,79,0.383,5.23,14.73956068
,20180113,1600,-8.7,78,0.385,5.49,86.16897249
,20180113,1700,-9.3,78,0.391,5.03,1.597755195
,20180113,1800,-10,78,0.383,4.67,83.96392189
,20180113,1900,-10.2,77,0.386,3.86,30.09538519
,20180113,2000,-10.3,77,0.386,5.22,115.0363381
,20180113,2100,-10.3,78,0.379,4.5,81.39444416
,20180113,2200,-10.5,78,0.383,4.24,72.80062718
,20180113,2300,-11.5,76,0.377,5.13,32.33409814
,20180114,0,-12.2,78,0.375,5.08,21.55652535
,20180114,100,-12.7,81,0.375,5,103.4547916
,20180114,200,-13.1,82,0.374,3.33,21.53738216
,20180114,300,-13.3,84,-99,4.7,31.87606747
,20180114,400,-13.2,84,0.367,3.96,43.14387578
,20180114,500,-13.4,84,0.361,4.99,6.498927736
,20180114,600,-13.7,85,0.359,4.91,149.8824417
,20180114,700,-13.8,85,0.362,5.57,58.52226288
,20180114,800,-13.3,85,0.357,6.18,38.2766728
,20180114,900,-11.9,84,0.36,5.66,143.2309888
,20180114,1000,-10.2,79,0.356,6,82.40685232
,20180114,1100,-8.2,74,0.362,6.34,83.74619483
,20180114,1200,-6.6,66,0.362,6.55,102.383874
,20180114,1300,-5.4,58,0.363,6.24,21.32281744
,20180114,1400,-4.2,52,0.363,5.74,103.4098898
,20180114,1500,-3.3,44,0.366,5.49,35.61066472
,20180114,1600,-2.9,45,0.365,5,139.8695724
,20180114,1700,-3.1,45,0.366,5.22,37.62361289
,20180114,1800,-4.4,53,0.37,4.92,77.86604524
,20180114,1900,-5.8,67,0.37,2.97,58.00313222
,20180114,2000,-6.4,73,0.365,5.25,124.5274292
,20180114,2100,-7.2,74,0.367,4.77,47.9588855
,20180114,2200,-6.8,78,0.364,4.58,41.43253018
,20180114,2300,-5.8,67,0.363,4.15,37.78570897
,20180115,0,-5.4,63,0.363,5.04,22.94553921
,20180115,100,-5.2,63,0.36,3.2,39.97193596
,20180115,200,-4.8,62,0.366,4.19,62.26887493
,20180115,300,-4.1,60,0.361,4.86,33.27076233
,20180115,400,-3.8,58,0.359,4.23,92.7779304
,20180115,500,-3.6,57,0.363,4.91,133.813121
,20180115,600,-3.2,54,0.361,5.21,41.55281937
,20180115,700,-2.9,52,0.363,4.37,126.9712095
,20180115,800,-2.6,50,0.361,5.88,147.1997309
,20180115,900,-1.8,49,0.365,5.81,21.80456854
,20180115,1000,-0.1,48,0.363,6.72,113.9830509
,20180115,1100,1.8,46,0.365,6.42,127.0695974
,20180115,1200,3.5,44,-99,6.54,32.20138864
,20180115,1300,4.6,43,0.37,5.92,131.7455258
,20180115,1400,5.2,42,0.377,5.82,62.10875641
,20180115,1500,5.7,42,0.382,5.32,15.78720397
,20180115,1600,5.3,43,0.38,4.73,79.14955443
,20180115,1700,4.1,46,0.386,5.22,21.41111904
,20180115,1800,2.9,49,0.383,4.84,107.8345726
,20180115,1900,1.4,55,0.382,4.91,68.51155361
,20180115,2000,1.1,56,0.388,4.12,68.06255639
,20180115,2100,0.6,58,0.382,3.81,120.3063503
,20180115,2200,0.6,58,0.382,4.49,136.6744583
,20180115,2300,-0.6,64,-99,4.69,85.90716058
,20180116,0,-1.8,72,0.381,4.52,127.8766202
,20180116,100,-2.4,84,0.384,3.75,38.8872269
,20180116,200,-2.2,89,0.383,3.58,79.2878216
,20180116,300,-2.3,91,0.385,4.01,49.44076318
,20180116,400,-2.8,95,-99,3.09,48.88709027
,20180116,500,-4,97,0.387,5.11,35.10748037
,20180116,600,-5,98,0.382,5.1,28.05421659
,20180116,700,-5.9,96,0.386,5.2,85.78350277
,20180116,800,-6.7,95,0.385,4.97,135.0764049
,20180116,900,-7.7,94,0.384,5.12,89.90972619
,20180116,1000,-7.9,89,0.381,6.25,121.9631656
,20180116,1100,-8.1,86,0.377,6.01,66.74192016
,20180116,1200,-8.8,84,0.377,5.81,38.67175486
,20180116,1300,-9.3,82,0.38,5.57,38.1294686
,20180116,1400,-9.9,82,0.38,5.21,24.13951736
,20180116,1500,-10.4,82,0.374,4.88,141.8096049
,20180116,1600,-11.1,81,0.38,4.21,58.05151494
,20180116,1700,-11.4,80,0.374,4.7,57.26192682
,20180116,1800,-12.2,82,-99,5.37,100.2294433
,20180116,1900,-13.7,83,0.374,4.31,59.54126738
,20180116,2000,-14.1,85,0.376,4.77,44.8369035
,20180116,2100,-14.5,84,0.368,5.32,93.68038004
,20180116,2200,-15.3,83,0.367,4.41,45.45885244
,20180116,2300,-15.8,83,0.365,4.41,31.81716208
,20180117,0,-17.3,84,0.365,4.89,39.97172874
,20180117,100,-17.7,87,0.367,4.18,133.5316271
,20180117,200,-18.6,87,0.362,4.55,19.46064538
,20180117,300,-19.5,87,0.358,4.25,97.36471212
,20180117,400,-18.8,87,0.356,5.04,96.47132356
,20180117,500,-17.4,86,0.355,4.73,89.47846072
,20180117,600,-16.6,85,0.355,5.24,9.237807991
,20180117,700,-16.4,86,-99,4.92,113.0669861
,20180117,800,-16.4,86,0.353,5.73,5.100483745
,20180117,900,-15.9,85,0.35,6.44,27.00527323
,20180117,1000,-15.1,84,0.347,6.53,23.53179507
,20180117,1100,-14,80,0.347,6.04,14.51882565
,20180117,1200,-13,77,0.343,6.01,116.5292626
,20180117,1300,-12.3,77,0.343,5.82,76.07119772
,20180117,1400,-11.6,74,0.342,5.72,148.6116173
,20180117,1500,-11.5,74,0.346,5.38,138.835558
,20180117,1600,-11.5,75,0.341,5.17,122.1508519
,20180117,1700,-11.6,77,0.343,5.23,38.42694735
,20180117,1800,-11.8,78,0.344,5.33,117.1584083
,20180117,1900,-11.7,79,0.339,4.62,118.901345
,20180117,2000,-11.8,81,0.343,3.99,136.4556882
,20180117,2100,-12,83,0.34,5.35,50.1541922
,20180117,2200,-12.4,85,0.334,5.34,135.9592443
,20180117,2300,-13.1,87,0.338,4.13,37.41444338
,20180118,0,-13.6,89,0.335,5,50.17878439
,20180118,100,-13.6,90,0.331,4.22,145.8813513
,20180118,200,-14.5,91,0.332,4.45,6.453404762
,20180118,300,-15.6,91,0.325,4.69,73.02036247
,20180118,400,-16.3,90,-99,4.05,121.1657961
,20180118,500,-16.9,89,0.321,3.95,131.3612615
,20180118,600,-17,88,0.319,4.59,111.9841145
,20180118,700,-17.4,87,-99,5.56,94.53535268
,20180118,800,-15.8,86,-99,5.59,103.5429556
,20180118,900,-11.7,87,-99,6.02,6.61618527
,20180118,1000,-9,83,-99,5.98,91.55422363
,20180118,1100,-6.4,61,-99,6.08,61.86588602
,20180118,1200,-4.2,52,-99,5.8,111.729575
,20180118,1300,-2.4,45,-99,6.16,36.55677175
,20180118,1400,-1,42,-99,6.3,30.07438685
,20180118,1500,-0.8,40,-99,6.29,16.199567
,20180118,1600,-1,40,-99,4.85,146.2428597
,20180118,1700,-1.6,39,-99,4.6,75.03218144
,20180118,1800,-3,43,-99,4.95,123.7517026
,20180118,1900,-4.1,52,0.34,3.84,11.92573511
,20180118,2000,-4.7,54,-99,4.72,115.8551956
,20180118,2100,-6.3,62,0.339,4.83,89.53234472
,20180118,2200,-7.6,69,-99,4.34,58.9052312
,20180118,2300,-8.5,80,-99,4,5.322132484
,20180119,0,-9.4,79,-99,4.44,85.96697988
,20180119,100,-8.6,79,-99,4.72,45.13977452
,20180119,200,-10.3,78,-99,4.88,129.2916844
,20180119,300,-11.2,85,-99,4.13,24.25884418
,20180119,400,-11,86,-99,5.33,47.60722549
,20180119,500,-10.5,84,-99,4.63,11.47431152
,20180119,600,-11.6,82,-99,4.29,69.79313688
,20180119,700,-11.9,84,-99,5.09,149.7802867
,20180119,800,-8.6,81,-99,5.78,120.1398498
,20180119,900,-4.3,63,-99,5.65,57.84381043
,20180119,1000,-1.5,52,-99,5.79,69.4501065
,20180119,1100,1.2,42,-99,6.59,138.4276145
,20180119,1200,3.5,29,-99,5.95,151.89326
,20180119,1300,4.7,25,-99,6.72,127.6095155
,20180119,1400,6,23,-99,5.6,24.41647083
,20180119,1500,6.5,21,-99,5.76,142.7490902
,20180119,1600,6.4,22,-99,5.27,145.0674224
,20180119,1700,5.5,25,-99,4.92,38.98719307
,20180119,1800,3.4,29,-99,4.51,98.89962799
,20180119,1900,1.7,35,-99,5.31,115.9835334
,20180119,2000,1.1,38,-99,4.4,98.63279506
,20180119,2100,0.3,41,-99,4.75,50.93381857
,20180119,2200,0.5,45,-99,4.51,85.30506561
,20180119,2300,1.1,51,-99,5.03,86.15635593
,20180120,0,1.7,56,-99,5.04,40.24859656
,20180120,100,2.7,57,-99,3.85,137.2392061
,20180120,200,3.2,59,-99,4.48,85.80880454
,20180120,300,3.4,58,-99,5.23,70.41167784
,20180120,400,3.6,57,-99,3.87,138.9941786
,20180120,500,3.8,58,-99,4.09,72.9849887
,20180120,600,3.9,61,-99,5.04,0.026994366
,20180120,700,4,63,-99,5.13,20.05966183
,20180120,800,4,67,-99,5.88,87.88422797
,20180120,900,5.3,66,-99,5.37,27.88494749
,20180120,1000,7.7,54,-99,6.53,29.99464047
,20180120,1100,9.4,45,-99,5.88,17.96266918
,20180120,1200,10.7,42,-99,6.06,69.89081595
,20180120,1300,11.9,45,-99,5.9,86.97184501
,20180120,1400,12.5,46,-99,6.27,27.28977774
,20180120,1500,13.1,46,-99,5.54,129.4309816
,20180120,1600,12.7,46,-99,5.4,40.79409926
,20180120,1700,11.1,51,-99,5.15,146.0571465
,20180120,1800,10.2,54,-99,4.74,88.51363208
,20180120,1900,8.5,58,-99,4.61,33.3858029
,20180120,2000,7.7,62,-99,5.45,148.4955427
,20180120,2100,6.9,62,-99,4.63,19.94860633
,20180120,2200,6.1,64,-99,4.88,91.61383061
,20180120,2300,6.6,64,-99,4.9,57.74700044
,20180121,0,5.6,69,-99,4.96,75.67802787
,20180121,100,6.3,70,-99,4.75,128.0885166
,20180121,200,6.5,69,-99,4.25,13.46405311
,20180121,300,6.4,71,0.366,3.94,83.93913233
,20180121,400,6.9,70,0.37,5.07,58.32354145
,20180121,500,7.6,67,0.37,4.89,137.8015512
,20180121,600,6.7,70,0.372,5.27,71.5909322
,20180121,700,6.8,72,0.372,4.62,118.8095623
,20180121,800,6.7,74,0.377,4.86,144.5881206
,20180121,900,7.8,72,0.379,6.07,131.566985
,20180121,1000,9.2,69,0.38,5.47,25.19672845
,20180121,1100,10.5,66,0.38,6.18,141.0168539
,20180121,1200,13.4,60,0.382,5.76,135.4408454
,20180121,1300,15.4,56,-99,6.1,109.3258204
,20180121,1400,16.3,53,-99,5.88,52.65000802
,20180121,1500,16.5,53,-99,5.44,17.38001444
,20180121,1600,15.7,55,0.383,4.5,78.64838185
,20180121,1700,14.3,56,0.381,4.13,105.3673132
,20180121,1800,13.4,59,0.384,3.62,34.43290485
,20180121,1900,13.1,60,0.382,4.39,18.52363925
,20180121,2000,12.9,60,0.383,3.86,56.05028217
,20180121,2100,13.2,58,-99,4.33,120.8821585
,20180121,2200,13.2,58,0.381,4.75,127.3161402
,20180121,2300,13,60,0.384,4.41,33.94897145
,20180122,0,12.4,63,0.383,5.18,143.1073605
,20180122,100,12.5,63,0.381,3.04,119.6626048
,20180122,200,12.6,62,0.38,3.89,70.81344555
,20180122,300,11.9,63,0.381,5.12,27.67143714
